algorithm,epsilon,L1error
CH,0.01,1.6552475100592154
CH,0.021544346900318832,1.5519879846613727
CH,0.046415888336127774,1.3706190528369682
CH,0.1,1.169589417777604
CH,0.21544346900318834,1.0044860242147284
CH,0.46415888336127775,0.7384189787335613
CH,1.0,0.5649815314272997
CH,2.154434690031882,0.38640491121772513
CH,4.6415888336127775,0.2834824444987061
CH,10.0,0.23404353784855872
toH,0.01,1.6978623393846202
toH,0.021544346900318832,1.4020778148731357
toH,0.046415888336127774,1.227183687529909
toH,0.1,0.8604491246177728
toH,0.21544346900318834,0.5325273674576954
toH,0.46415888336127775,0.34286388893394165
toH,1.0,0.27520584272174153
toH,2.154434690031882,0.28582001387018907
toH,4.6415888336127775,0.20600635179763685
toH,10.0,0.18624543632542603
NL,0.01,1.7530505107466383
NL,0.021544346900318832,1.8241838496036
NL,0.046415888336127774,1.732750911815287
NL,0.1,1.5017856587207212
NL,0.21544346900318834,1.2307296277276127
NL,0.46415888336127775,0.845378014158103
NL,1.0,0.5564724986343675
NL,2.154434690031882,0.3344942409191026
NL,4.6415888336127775,0.21612576078141937
NL,10.0,0.1470142241126418
