algorithm,epsilon,L1error
CH,0.01,0.9181315507138742
CH,0.021544346900318832,0.7818767021539994
CH,0.046415888336127774,1.0515425421809483
CH,0.1,1.0321324532615501
CH,0.21544346900318834,1.1513415341361353
CH,0.46415888336127775,1.0835260060563354
CH,1.0,0.9241494268095388
CH,2.154434690031882,0.9575949215956615
CH,4.6415888336127775,0.8327156993506875
CH,10.0,0.9994109939505355
toH,0.01,0.6822873534760231
toH,0.021544346900318832,1.868284228769496
toH,0.046415888336127774,0.6822873534760231
toH,0.1,0.8427368045279472
toH,0.21544346900318834,0.8121299783253634
toH,0.46415888336127775,1.361723198811585
toH,1.0,0.8327156993506875
toH,2.154434690031882,0.7805222608974272
toH,4.6415888336127775,1.1480765241597086
toH,10.0,1.0472070862806655
NL,0.01,1.1545630106462021
NL,0.021544346900318832,1.1545630106462021
NL,0.046415888336127774,1.1545630106462021
NL,0.1,1.1545630106462021
NL,0.21544346900318834,1.1561576950315764
NL,0.46415888336127775,1.1545630106462021
NL,1.0,1.1545630106462021
NL,2.154434690031882,1.1545630106462021
NL,4.6415888336127775,1.1561576950315764
NL,10.0,1.1561576950315764
